wavelength,flux
5783.099542,9.292566E-15
5786.053627,9.257808E-15
5789.007713,9.235406E-15
5791.961798,9.260825E-15
5794.915884,9.279711E-15
5797.869969,9.299892E-15
5800.824055,9.319291E-15
5803.77814,9.320943E-15
5806.732226,9.286775E-15
5809.686311,9.234095E-15
5812.640397,9.197279E-15
5815.594482,9.207544E-15
5818.548568,9.268942E-15
5821.502653,9.234202E-15
5824.456739,9.086647E-15
5827.410824,9.029242E-15
5830.36491,9.040599E-15
5833.318995,9.052596E-15
5836.273081,9.075787E-15
5839.227166,9.077893E-15
5842.181252,9.050262E-15
5845.135337,9.026009E-15
5848.089423,9.029473E-15
5851.043508,9.041358E-15
5853.997594,9.010134E-15
5856.951679,8.931907E-15
5859.905765,8.9119e-15
5862.85985,8.93085e-15
5865.813936,8.939927E-15
5868.768021,8.936016E-15
5871.722107,8.913501E-15
5874.676192,8.924702E-15
5877.630278,8.920998E-15
5880.584363,8.850827E-15
5883.538449,8.753875E-15
5886.492534,8.713671E-15
5889.44662,8.708676E-15
5892.400706,8.719785E-15
5895.354791,8.725639E-15
5898.308877,8.732968E-15
5901.262962,8.762703E-15
5904.217048,8.812591E-15
5907.171133,8.842954E-15
5910.125219,8.877141E-15
5913.079304,8.903077E-15
5916.03339,8.914359E-15
5918.987475,8.928097E-15
5921.941561,8.93847e-15
5924.895646,8.946994E-15
5927.849732,8.996433E-15
5930.803817,9.048134E-15
5933.757903,9.033982E-15
5936.711988,8.994166E-15
5939.666074,8.96368e-15
5942.620159,8.961694E-15
5945.574245,8.972374E-15
5948.52833,8.970185E-15
5951.482416,8.993739E-15
5954.436501,8.999533E-15
5957.390587,8.971385E-15
5960.344672,8.953945E-15
5963.298758,8.943609E-15
5966.252843,8.942737E-15
5969.206929,8.943693E-15
5972.161014,8.915739E-15
5975.1151,8.906908E-15
5978.069185,8.959118E-15
5981.023271,8.989571E-15
5983.977356,8.996182E-15
5986.931442,9.038568E-15
5989.885527,9.101481E-15
5992.839613,9.115702E-15
5995.793698,9.081601E-15
5998.747784,9.083735E-15
6001.701869,9.106908E-15
6004.655955,9.112912E-15
6007.61004,9.123581E-15
6010.564126,9.083038E-15
6013.518211,9.028406E-15
6016.472297,9.068583E-15
6019.426382,9.141624E-15
6022.380468,9.17792e-15
6025.334553,9.170197E-15
6028.288639,9.129598E-15
6031.242724,9.108155E-15
6034.19681,9.108624E-15
6037.150895,9.134253E-15
6040.104981,9.171444E-15
6043.059067,9.190346E-15
6046.013152,9.1663e-15
6048.967238,9.136506E-15
6051.921323,9.162073E-15
6054.875409,9.183675E-15
6057.829494,9.156568E-15
6060.78358,9.115915E-15
6063.737665,9.088819E-15
6066.691751,9.119653E-15
6069.645836,9.163768E-15
6072.599922,9.145002E-15
6075.554007,9.120285E-15
6078.508093,9.134574E-15
6081.462178,9.164719E-15
6084.416264,9.169399E-15
6087.370349,9.136725E-15
6090.324435,9.127093E-15
6093.27852,9.154058E-15
6096.232606,9.176602E-15
6099.186691,9.194132E-15
6102.140777,9.212035E-15
6105.094862,9.227341E-15
6108.048948,9.220161E-15
6111.003033,9.181595E-15
6113.957119,9.182134E-15
6116.911204,9.253108E-15
6119.86529,9.298016E-15
6122.819375,9.280106E-15
6125.773461,9.256034E-15
6128.727546,9.239664E-15
6131.681632,9.241493E-15
6134.635717,9.273507E-15
6137.589803,9.296054E-15
6140.543888,9.290798E-15
6143.497974,9.293147E-15
6146.452059,9.315256E-15
6149.406145,9.300357E-15
6152.36023,9.24387e-15
6155.314316,9.200928E-15
6158.268401,9.206967E-15
6161.222487,9.268568E-15
6164.176572,9.308153E-15
